,Unnamed: 0,기입날짜,별점,옵션,후기,sentiment,Unnamed: 6
0,0,23.04.14.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",잘 우러나고 좋아요!,1,
1,1,23.04.14.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",항상 여기서 시켜먹어요 ㅎㅎ,1,
2,2,23.04.14.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",좀 둥둥 뜨는데 처음 걷어내고 먹어요,0,
3,3,23.04.14.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",구수하니 맛있어요 잘먹을게요,1,
4,4,23.04.14.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",한달동안 잘 먹고 있어요.,1,
5,5,23.04.14.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",내용물 적당하고 만족해서 계속 사용합니다.,1,
6,6,23.04.14.,5,"삼각티백 종류 선택: 라벤더차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",내용물 적당하고 만족해서 계속 사용합니다.,1,
7,7,23.04.14.,5,"삼각티백 종류 선택: 레몬밤차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",자주 시켜먹어요 부모님이랑 같이 먹는데 너무 좋아하셔요 ~,1,
8,8,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","캐모마일 효능을 찾아보니
안 마실 수가 없겠던데요!
아직은 제 취향이 아니지만
먹다 보면 좋아지겠죵ㅋ
빠른 배송 감사합니다!",0,#
9,9,23.04.13.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송빠르고 제품도 문제없이 도착했습니다.,1,
10,10,23.04.13.,5,"삼각티백 종류 선택: 레몬밤차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송빠르고 제품도 이상없이 잘 도착했네요.,1,
11,11,23.04.13.,5,"삼각티백 종류 선택: 야관문차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",야관문차도 재구매해서 잘먹고 잇슴다,1,
12,12,23.04.13.,5,"삼각티백 종류 선택: 마리골드차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재구매해서 맛있게먹고잇슴다,1,
13,13,23.04.13.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송빠름 가격저렴 추천합니다,1,
14,14,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송빠름 가격저렴 추천합니다,1,
15,15,23.04.13.,5,"삼각티백 종류 선택: 루이보스티 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송빠름 가격저렴 추천합니다,1,
16,16,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",품질이 좋네요 많이 사용하시는 이유가 있어요,1,
17,17,23.04.13.,5,"삼각티백 종류 선택: 유기농 캐모마일 티백 / 삼각티백 구성 선택: 25티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","효능이 생기면 좋겠네요~
믿고 먹는중 입니다  티백도 좋은걸
쓰는것 같음",1,
18,18,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","캐모마일.페퍼민트.얼그레이.
모두 좋아요.
모양.맛.향 만족스러워 매번 재구매 하고 있답니다^^",1,
19,19,23.04.13.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","피부에 좋다고해서 꾸준히 마시고 있는데 
새콤하니 맛도 좋고 카페인이 없어서 좋아요",1,
20,20,23.04.13.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",늘 잘 마시고 있답니다,1,
21,21,23.04.13.,5,"삼각티백 종류 선택: 자스민차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 다양하게 잘 시켜먹고 있어요,1,
22,22,23.04.13.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",네 아주 맛있게 잘먹고있어요^^다먹고 재주문하려해요,1,
23,23,23.04.13.,5,"삼각티백 종류 선택: 루이보스티 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",네 아주 맛있게 잘먹고있어요^^다먹고 재주문하려해요~,1,
24,24,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",늘 커피만 먹다가 차로 바뀌니 몸이 달라지는게 느껴집니다아아,1,
25,25,23.04.13.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",재주문입니다 잘먹을게요,1,
26,26,23.04.13.,5,"삼각티백 종류 선택: 라벤더차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",사무실에서 잘 마시고 있습니다,1,
27,27,23.04.13.,5,"삼각티백 종류 선택: 히비스커스차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","히비스커스 차 처음 사봤는데 좋아요. 잘 우러나고, 가라앉는 것도 없고, 새콤만 맛 살짝나고 목 넘김이 부드러워요. 유통기한도 길어요. 잘 마시고 또 주문하러 올게요. 감사합니다^^",1,
28,28,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","요즘 차마시는 재미로 살아요  너무 좋아요
가성비짱",1,
29,29,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","거의 다먹었네요! 추가주문 해야겠어요
아침 저녁으로 한잔 피부도 좋아지고 
소화도 잘되네요 가성비 대만족입니다!",1,
30,30,23.04.13.,5,"삼각티백 종류 선택: 작약차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",고소하고 향기롭고 아주 만족합니다~,1,
